max_depth	min_split	cp	minbucket	ganancia_promedio
7	1100	-0.7	200	10806667
7	1000	-0.7	200	10806667
7	900	-0.7	200	10806667
8	1100	-0.7	200	10806667
8	1000	-0.7	200	10086667
8	900	-0.7	200	10086667
9	1100	-0.7	200	10346667
9	1000	-0.7	200	9416667
9	900	-0.7	200	9416667
7	1100	-0.7	250	11626667
7	1000	-0.7	250	11626667
7	900	-0.7	250	11626667
8	1100	-0.7	250	11626667
8	1000	-0.7	250	10890000
8	900	-0.7	250	10890000
9	1100	-0.7	250	11166667
9	1000	-0.7	250	10430000
9	900	-0.7	250	10430000
7	1100	-0.7	300	11546667
7	1000	-0.7	300	12203333
7	900	-0.7	300	12203333
8	1100	-0.7	300	11546667
8	1000	-0.7	300	11466667
8	900	-0.7	300	11466667
9	1100	-0.7	300	11086667
9	1000	-0.7	300	11006667
9	900	-0.7	300	11006667
7	1100	-0.7	350	11016667
7	1000	-0.7	350	11016667
7	900	-0.7	350	11016667
8	1100	-0.7	350	11016667
8	1000	-0.7	350	10280000
8	900	-0.7	350	10280000
9	1100	-0.7	350	10406667
9	1000	-0.7	350	9670000
9	900	-0.7	350	9670000
7	1100	-0.7	400	10316667
7	1000	-0.7	400	10316667
7	900	-0.7	400	10316667
8	1100	-0.7	400	10316667
8	1000	-0.7	400	9580000
8	900	-0.7	400	9580000
9	1100	-0.7	400	9706667
9	1000	-0.7	400	8970000
9	900	-0.7	400	8970000
7	1100	-0.8	200	10806667
7	1000	-0.8	200	10806667
7	900	-0.8	200	10806667
8	1100	-0.8	200	10806667
8	1000	-0.8	200	10086667
8	900	-0.8	200	10086667
9	1100	-0.8	200	10346667
9	1000	-0.8	200	9416667
9	900	-0.8	200	9416667
7	1100	-0.8	250	11626667
7	1000	-0.8	250	11626667
7	900	-0.8	250	11626667
8	1100	-0.8	250	11626667
8	1000	-0.8	250	10890000
8	900	-0.8	250	10890000
9	1100	-0.8	250	11166667
9	1000	-0.8	250	10430000
9	900	-0.8	250	10430000
7	1100	-0.8	300	11546667
7	1000	-0.8	300	12203333
7	900	-0.8	300	12203333
8	1100	-0.8	300	11546667
8	1000	-0.8	300	11466667
8	900	-0.8	300	11466667
9	1100	-0.8	300	11086667
9	1000	-0.8	300	11006667
9	900	-0.8	300	11006667
7	1100	-0.8	350	11016667
7	1000	-0.8	350	11016667
7	900	-0.8	350	11016667
8	1100	-0.8	350	11016667
8	1000	-0.8	350	10280000
8	900	-0.8	350	10280000
9	1100	-0.8	350	10406667
9	1000	-0.8	350	9670000
9	900	-0.8	350	9670000
7	1100	-0.8	400	10316667
7	1000	-0.8	400	10316667
7	900	-0.8	400	10316667
8	1100	-0.8	400	10316667
8	1000	-0.8	400	9580000
8	900	-0.8	400	9580000
9	1100	-0.8	400	9706667
9	1000	-0.8	400	8970000
9	900	-0.8	400	8970000
7	1100	-0.9	200	10806667
7	1000	-0.9	200	10806667
7	900	-0.9	200	10806667
8	1100	-0.9	200	10806667
8	1000	-0.9	200	10086667
8	900	-0.9	200	10086667
9	1100	-0.9	200	10346667
9	1000	-0.9	200	9416667
9	900	-0.9	200	9416667
7	1100	-0.9	250	11626667
7	1000	-0.9	250	11626667
7	900	-0.9	250	11626667
8	1100	-0.9	250	11626667
8	1000	-0.9	250	10890000
8	900	-0.9	250	10890000
9	1100	-0.9	250	11166667
9	1000	-0.9	250	10430000
9	900	-0.9	250	10430000
7	1100	-0.9	300	11546667
7	1000	-0.9	300	12203333
7	900	-0.9	300	12203333
8	1100	-0.9	300	11546667
8	1000	-0.9	300	11466667
8	900	-0.9	300	11466667
9	1100	-0.9	300	11086667
9	1000	-0.9	300	11006667
9	900	-0.9	300	11006667
7	1100	-0.9	350	11016667
7	1000	-0.9	350	11016667
7	900	-0.9	350	11016667
8	1100	-0.9	350	11016667
8	1000	-0.9	350	10280000
8	900	-0.9	350	10280000
9	1100	-0.9	350	10406667
9	1000	-0.9	350	9670000
9	900	-0.9	350	9670000
7	1100	-0.9	400	10316667
7	1000	-0.9	400	10316667
7	900	-0.9	400	10316667
8	1100	-0.9	400	10316667
8	1000	-0.9	400	9580000
8	900	-0.9	400	9580000
9	1100	-0.9	400	9706667
9	1000	-0.9	400	8970000
9	900	-0.9	400	8970000
