max_depth	min_split	cp	minbucket	ganancia_promedio
6	1800	-1	300	10820000
7	1800	-1	300	10820000
8	1800	-1	300	10406667
6	1800	-1	350	10803333
7	1800	-1	350	10803333
8	1800	-1	350	10803333
6	1800	-1	400	11250000
7	1800	-1	400	11250000
8	1800	-1	400	11250000
6	1800	-1	450	11250000
7	1800	-1	450	11250000
8	1800	-1	450	11250000
6	1800	-1	500	11360000
7	1800	-1	500	11360000
8	1800	-1	500	11360000
6	1800	-1	550	11096667
7	1800	-1	550	11096667
8	1800	-1	550	11096667
6	1800	-1	600	11096667
7	1800	-1	600	11096667
8	1800	-1	600	11096667
6	1800	-1	650	11146667
7	1800	-1	650	11146667
8	1800	-1	650	11146667
6	1800	-1	700	10686667
7	1800	-1	700	10686667
8	1800	-1	700	10686667
6	1800	-1	750	10396667
7	1800	-1	750	10396667
8	1800	-1	750	10396667
6	1800	-1	800	10036667
7	1800	-1	800	10036667
8	1800	-1	800	10036667
6	1800	-1	850	10310000
7	1800	-1	850	10310000
8	1800	-1	850	10310000
6	1800	-1	900	10870000
7	1800	-1	900	10870000
8	1800	-1	900	10870000
6	1800	-1	950	10436667
7	1800	-1	950	10436667
8	1800	-1	950	10436667
6	1800	-1	1000	10026667
7	1800	-1	1000	10026667
8	1800	-1	1000	10026667
