max_depth	min_split	cp	minbucket	ganancia_promedio
6	1600	-1	270	10043333
6	1650	-1	270	10043333
6	1700	-1	270	10820000
6	1750	-1	270	10820000
6	1800	-1	270	10820000
6	1850	-1	270	10820000
6	1900	-1	270	10146667
6	1950	-1	270	10576667
6	2000	-1	270	10576667
6	2050	-1	270	10006667
6	2100	-1	270	10006667
6	1600	-1	280	10043333
6	1650	-1	280	10043333
6	1700	-1	280	10820000
6	1750	-1	280	10820000
6	1800	-1	280	10820000
6	1850	-1	280	10820000
6	1900	-1	280	10146667
6	1950	-1	280	10576667
6	2000	-1	280	10576667
6	2050	-1	280	10006667
6	2100	-1	280	10006667
6	1600	-1	290	10043333
6	1650	-1	290	10043333
6	1700	-1	290	10820000
6	1750	-1	290	10820000
6	1800	-1	290	10820000
6	1850	-1	290	10820000
6	1900	-1	290	10146667
6	1950	-1	290	10576667
6	2000	-1	290	10576667
6	2050	-1	290	10006667
6	2100	-1	290	10006667
6	1600	-1	300	10043333
6	1650	-1	300	10043333
6	1700	-1	300	10820000
6	1750	-1	300	10820000
6	1800	-1	300	10820000
6	1850	-1	300	10820000
6	1900	-1	300	10146667
6	1950	-1	300	10576667
6	2000	-1	300	10576667
6	2050	-1	300	10006667
6	2100	-1	300	10006667
6	1600	-1	310	10043333
6	1650	-1	310	10043333
6	1700	-1	310	10820000
6	1750	-1	310	10820000
6	1800	-1	310	10820000
6	1850	-1	310	10820000
6	1900	-1	310	10146667
6	1950	-1	310	10576667
6	2000	-1	310	10576667
6	2050	-1	310	10006667
6	2100	-1	310	10006667
6	1600	-1	320	10043333
6	1650	-1	320	10043333
6	1700	-1	320	10820000
6	1750	-1	320	10820000
6	1800	-1	320	10820000
6	1850	-1	320	10820000
6	1900	-1	320	10146667
6	1950	-1	320	10576667
6	2000	-1	320	10576667
6	2050	-1	320	10006667
6	2100	-1	320	10006667
6	1600	-1	330	10043333
6	1650	-1	330	10043333
6	1700	-1	330	10820000
6	1750	-1	330	10820000
6	1800	-1	330	10820000
6	1850	-1	330	10820000
6	1900	-1	330	10146667
6	1950	-1	330	10576667
6	2000	-1	330	10576667
6	2050	-1	330	10006667
6	2100	-1	330	10006667
6	1600	-1	340	10036667
6	1650	-1	340	10036667
6	1700	-1	340	10813333
6	1750	-1	340	10813333
6	1800	-1	340	10813333
6	1850	-1	340	10813333
6	1900	-1	340	10140000
6	1950	-1	340	10576667
6	2000	-1	340	10576667
6	2050	-1	340	10006667
6	2100	-1	340	10006667
6	1600	-1	350	10026667
6	1650	-1	350	10026667
6	1700	-1	350	10803333
6	1750	-1	350	10803333
6	1800	-1	350	10803333
6	1850	-1	350	10803333
6	1900	-1	350	10130000
6	1950	-1	350	10576667
6	2000	-1	350	10576667
6	2050	-1	350	10006667
6	2100	-1	350	10006667
