max_depth	min_split	cp	minbucket	ganancia_promedio
6.4	2000	-0.99	300	10576667
6.41	2000	-0.99	300	10576667
6.42	2000	-0.99	300	10576667
6.43	2000	-0.99	300	10576667
6.44	2000	-0.99	300	10576667
6.45	2000	-0.99	300	10576667
6.46	2000	-0.99	300	10576667
6.47	2000	-0.99	300	10576667
6.48	2000	-0.99	300	10576667
6.49	2000	-0.99	300	10576667
6.5	2000	-0.99	300	10576667
6.51	2000	-0.99	300	10576667
6.52	2000	-0.99	300	10576667
6.53	2000	-0.99	300	10576667
6.54	2000	-0.99	300	10576667
6.55	2000	-0.99	300	10576667
6.56	2000	-0.99	300	10576667
6.57	2000	-0.99	300	10576667
6.58	2000	-0.99	300	10576667
6.59	2000	-0.99	300	10576667
6.6	2000	-0.99	300	10576667
