fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 205856	-0.392203242178948	5313	1216	11	5	9436000	1
20220520 205926	-0.335451657700469	4919	1276	18	5	9088000	2
20220520 205956	-0.635955214603746	3970	895	8	5	9744000	3
20220520 210010	0.0152502055992956	7882	807	3	5	0	4
20220520 210053	-0.282152652351942	3461	69	19	5	9362000	5
20220520 210124	-0.859009970947227	5959	505	20	5	9646000	6
20220520 210150	-0.166732503504318	4014	323	7	5	9596000	7
20220520 210207	-0.768481615939527	6884	137	4	5	9014000	8
20220520 210227	-0.937666695186635	7340	1766	6	5	8561000	9
20220520 210256	-0.0513477844506268	6401	1028	16	5	9592000	10
20220520 210325	-0.974739822516373	5031	633	10	5	9662000	11
20220520 210356	-0.62566449829222	629	93	8	5	9412000	12
20220520 210411	-0.742566850373987	6830	1900	3	5	8561000	13
20220520 210441	-0.138886432237147	3863	1377	15	5	9341000	14
20220520 210509	-0.311471006961074	6457	1048	20	5	9599000	15
20220520 210524	0.0747413860478749	2241	795	14	5	0	16
20220520 210614	-0.98834520265604	3893	4	20	5	9118000	17
20220520 210646	-0.996350260428354	6310	20	10	5	9034000	18
20220520 210701	-0.840099587982451	4487	843	3	5	9240000	19
20220520 210716	0.0960782005974583	5726	1	19	5	0	20
20220520 210746	-0.0862915872305687	6465	852	20	5	9563000	21
20220520 210812	-0.233977970317495	7891	1120	10	5	8918000	22
20220520 210841	-0.540626850001278	5676	879	10	5	9646000	23
20220520 210915	-0.601607630056744	7990	312	20	5	8918000	24
20220520 210933	-0.462611091618845	6756	164	4	5	9014000	25
20220520 211003	-0.0628411611198685	4341	2000	20	5	8952000	26
20220520 211049	-0.902919974617938	397	2	12	5	9294000	27
20220520 211105	-0.585359794391023	3770	1885	3	5	8561000	28
20220520 211141	-0.691259773336846	2699	475	18	5	9997000	29
20220520 211218	-0.794981820737405	1080	540	20	5	10139000	30
20220520 211314	-0.74531905477135	43	20	20	5	2964000	31
20220520 211333	-0.620283098066939	2494	484	4	5	9799000	32
20220520 211407	-0.78282186107093	4882	630	13	5	9597000	33
20220520 211436	-0.0830558184394489	6281	1191	20	5	9409000	34
20220520 211513	-0.890902508815296	1130	564	16	5	10345000	35
20220520 211534	-0.833406234720984	1577	509	5	5	10749000	36
20220520 211551	-0.917184256758071	3095	357	3	5	9240000	37
20220520 211606	-0.685665686747599	6977	514	3	5	8963000	38
20220520 211643	-0.833880329190372	1332	664	18	5	11118000	39
20220520 211720	-0.817426594233477	1116	527	13	5	10178000	40
20220520 211750	-0.677978510553077	3005	1489	20	5	9647000	41
20220520 211834	-0.844779967320415	462	224	20	5	10030000	42
20220520 211907	-0.695026178525687	1840	916	20	5	9729000	43
20220520 211942	-0.848092993910194	1698	559	20	5	11052000	44
20220520 212014	-0.18787223592064	3013	856	20	5	10162000	45
20220520 212041	-0.277341197236928	3016	677	7	5	10162000	46
20220520 212115	-0.370036509524388	4021	582	17	5	9646000	47
20220520 212148	-0.236018254483402	5452	526	20	5	9686000	48
20220520 212230	-0.53516311778594	924	402	20	5	10539000	49
20220520 212308	-0.584614923546942	1369	683	20	5	10874000	50
20220520 212343	-0.485842125841419	1563	780	20	5	10932000	51
20220520 212418	-0.528527991561352	2142	1065	20	5	10163000	52
20220520 212450	-0.509070929044926	1315	655	9	5	11233000	53
20220520 212511	-0.451883503041681	1449	722	4	5	10048000	54
20220520 212545	-0.512302412881446	2805	643	19	5	9971000	55
20220520 212613	-0.499291337246851	427	203	7	5	10569000	56
20220520 212644	-0.549111073861158	1586	790	9	5	10933000	57
20220520 212717	-0.836122602178268	2457	1226	20	5	9278000	58
20220520 212748	-0.49627757018556	1772	885	8	5	10457000	59
20220520 212824	-0.479613643120425	983	488	15	5	10350000	60
20220520 212841	-0.55128219400569	631	308	3	5	9240000	61
20220520 212914	-0.426118491171062	1580	784	20	5	10931000	62
20220520 212950	-0.628784029441177	1323	657	20	5	11231000	63
20220520 213025	-0.612971761898041	1336	647	15	5	10802000	64
20220520 213100	-0.654173110834422	2187	610	20	5	10095000	65
20220520 213134	-0.340044211869894	1593	796	18	5	10929000	66
20220520 213220	-0.39928616558584	118	59	13	5	5424000	67
20220520 213253	-0.376103495263611	1900	942	20	5	10221000	68
20220520 213327	-0.296909865547037	1503	750	20	5	11010000	69
20220520 213401	-0.623056554000601	1608	804	20	5	10930000	70
20220520 213433	-0.316765825547051	3512	764	20	5	9880000	71
20220520 213503	-0.847092344342058	4046	342	9	5	9596000	72
20220520 213541	-0.254562652172274	1020	510	18	5	10175000	73
20220520 213614	-0.527406560416535	1474	735	19	5	10813000	74
20220520 213649	-0.269092865675129	1902	949	16	5	10317000	75
20220520 213724	-0.122964203483797	1983	970	12	5	10203000	76
20220520 213755	-0.419702251065543	7863	815	20	5	8918000	77
20220520 213826	-0.582242377409185	2534	1263	9	5	9165000	78
20220520 213902	-0.999458711919663	1668	833	20	5	10749000	79
20220520 213936	-0.956083876501263	2105	1010	20	5	10120000	80
20220520 214015	-0.985576777010216	945	471	20	5	10386000	81
20220520 214045	-0.99984531119656	7981	990	20	5	8918000	82
20220520 214101	-0.999660736538051	1439	719	3	5	9240000	83
20220520 214139	-0.626199167406919	1024	460	20	5	10347000	84
20220520 214236	-0.517280967409984	1319	3	20	5	9951000	85
20220520 214306	-0.150262247317729	5762	976	13	5	9646000	86
20220520 214335	-0.457452652321284	3498	1642	20	5	9228000	87
20220520 214412	-0.148761608584623	1258	621	20	5	10846000	88
20220520 214500	-0.155340396436645	228	113	20	5	6931000	89
20220520 214528	-0.195003024443378	1494	737	7	5	10813000	90
20220520 214602	-0.166891944452489	1791	684	13	5	10740000	91
20220520 214623	-0.286559580376178	7997	244	5	5	8918000	92
20220520 214656	-0.952133090438995	1992	706	20	5	10328000	93
20220520 214727	-0.635737923927658	1392	537	8	5	10776000	94
20220520 214751	-0.630430630865232	1452	721	5	5	10370000	95
20220520 214841	-0.678748445610624	5540	2	20	5	8916000	96
20220520 214915	-0.240688232137021	6465	21	10	5	9095000	97
20220520 214930	-0.773365583922323	3198	1	3	5	9381000	98
20220520 215004	-0.208541748438531	1510	725	20	5	10737000	99
20220520 215032	-0.801004100578127	8000	848	20	5	8918000	100
20220520 215101	-0.312706961487333	1429	642	8	5	10931000	101
20220520 215121	-0.53184513973565	4335	1	5	5	9154000	102
20220520 215136	-0.53793066729127	8000	1997	3	5	8918000	103
20220520 215204	-0.999983232895332	5624	1996	20	5	8990000	104
20220520 215220	-0.143695548887158	1382	601	3	5	9240000	105
20220520 215235	-0.344559307618672	7127	1999	3	5	8561000	106
20220520 215301	-0.550494220476961	6758	2000	20	5	8612000	107
20220520 215333	-0.243429338539557	1456	726	9	5	10739000	108
20220520 215411	-0.847266008575086	1307	492	20	5	10817000	109
20220520 215444	-0.301027711440996	1571	781	11	5	10932000	110
20220520 215518	-0.857052348179408	1503	746	20	5	10956000	111
20220520 215534	-0.848487446013166	1609	157	3	5	9240000	112
20220520 215602	-0.82060058811635	1759	864	8	5	10426000	113
20220520 215636	-0.632867693634398	3498	528	20	5	9792000	114
20220520 215656	-0.782716262587177	1881	647	3	5	9240000	115
20220520 215803	-0.181785096566097	2423	1200	8	5	9497000	116
