fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220525 154455	1708	11	293	22	5	11434000	1
20220525 171912	1803	21	413	49	5	10467000	2
20220525 173625	505	19	150	33	5	10330000	3
20220525 174023	1105	16	100	2	5	11132000	4
20220525 175535	925	8	163	28	5	11037000	5
20220525 180656	695	5	324	47	5	10365000	6
20220525 183140	1540	12	397	19	5	11530000	7
20220525 185140	2383	14	264	8	5	11610000	8
20220525 185504	367	30	47	8	5	10695000	9
20220525 195412	1213	19	215	43	5	10273000	10
20220525 200255	1361	7	74	11	5	11341000	11
20220525 200849	230	25	371	24	5	10666000	12
20220525 202700	2259	3	242	39	5	10112000	13
20220525 214408	1932	27	472	36	5	10538000	14
20220525 225636	2197	27	3	30	5	8926000	15
20220525 225808	772	1	457	15	5	-4000	16
20220525 235033	2500	6	1	50	5	10581000	17
20220525 235516	1773	10	1	2	5	10475000	18
20220526 005829	1460	13	357	50	5	10836000	19
20220526 015051	2498	6	243	50	5	10710000	20
20220526 015123	100	14	500	2	5	10332000	21
20220526 020305	201	29	500	50	5	9513000	22
20220526 023722	2493	16	500	14	5	11231000	23
20220526 031330	1770	14	65	22	5	10932000	24
20220526 032633	2500	12	499	5	5	11453000	25
20220526 040059	2500	4	10	50	5	10402000	26
20220526 040715	1709	22	486	2	5	11330000	27
20220526 043528	2499	7	49	21	5	11311000	28
20220526 044444	2500	24	500	2	5	11029000	29
20220526 044702	578	28	500	2	5	11592000	30
20220526 045338	1722	30	500	2	5	11212000	31
20220526 052830	1811	7	140	38	5	10834000	32
20220526 053305	1229	26	500	2	5	11329000	33
20220526 054205	2500	18	272	2	5	11052000	34
20220526 061833	2500	12	271	17	5	11326000	35
20220526 062324	2500	6	173	2	5	7623000	36
20220526 063543	1306	9	1	13	5	11103000	37
20220526 064942	1122	28	500	12	5	11244000	38
20220526 070244	1561	12	290	9	5	11590000	39
20220526 071434	1030	7	1	21	5	11346000	40
20220526 081724	2377	13	500	30	5	11266000	41
20220526 081801	100	23	168	2	5	10894000	42
20220526 083047	1064	20	500	11	5	11321000	43
20220526 085012	2022	13	500	10	5	11522000	44
20220526 093647	1991	22	500	22	5	11134000	45
20220526 094939	1938	15	369	6	5	11903000	46
20220526 095443	120	15	500	40	5	10850000	47
20220526 095911	100	22	500	36	5	10127000	48
20220526 103436	1496	15	384	25	5	11254000	49
20220526 105105	1852	21	28	8	5	11140000	50
20220526 105200	100	30	500	5	5	11464000	51
20220526 110050	2500	15	464	2	5	10927000	52
20220526 111446	1658	17	322	8	5	11506000	53
20220526 112952	1829	15	218	8	5	11429000	54
20220526 113216	101	8	68	37	5	10844000	55
20220526 113431	557	30	365	2	5	11304000	56
20220526 115459	2139	13	358	10	5	11562000	57
20220526 120855	2002	20	396	6	5	11590000	58
20220526 122019	1750	14	381	6	5	11707000	59
20220526 122753	972	23	500	7	5	11685000	60
20220526 124258	2273	16	378	6	5	11740000	61
20220526 140720	2500	11	500	44	5	11017000	62
20220526 141109	611	19	358	5	5	11523000	63
20220526 141339	101	12	500	27	5	11247000	64
20220526 161359	2440	16	500	50	5	10825000	65
20220526 161453	103	8	1	8	5	10959000	66
20220526 162951	2052	11	388	8	5	11652000	67
20220526 164232	486	30	500	24	5	10844000	68
20220526 165055	1217	22	345	6	5	11553000	69
20220526 165606	100	15	1	50	5	8773000	70
20220526 172941	1000	12	500	36	5	10998000	71
20220526 173218	100	18	500	21	5	10928000	72
20220526 181912	2457	12	500	22	5	11288000	73
20220526 195109	2499	19	500	35	5	10951000	74
20220526 200816	2499	15	1	6	5	11252000	75
20220526 225506	2500	14	362	41	5	10964000	76
20220526 230440	1362	18	500	6	5	11769000	77
20220526 230544	100	27	500	7	5	11598000	78
20220526 232111	2006	15	418	7	5	11555000	79
20220526 232417	100	9	272	42	5	10900000	80
20220526 232724	458	24	395	5	5	11572000	81
20220526 233127	358	11	87	12	5	11618000	82
20220526 234104	2500	30	137	2	5	11269000	83
20220527 000254	2500	30	260	8	5	11136000	84
20220527 002130	2499	15	92	7	5	11570000	85
20220527 002722	512	8	74	18	5	11466000	86
20220527 003209	759	28	211	5	5	11306000	87
20220527 004909	1343	6	56	29	5	10897000	88
20220527 010028	1456	12	82	8	5	11599000	89
20220527 011400	2500	25	76	4	5	11664000	90
20220527 012255	2247	27	1	2	5	11172000	91
20220527 013512	2031	27	359	5	5	11674000	92
20220527 013954	185	12	346	29	5	11014000	93
20220527 015355	1973	24	123	6	5	11163000	94
20220527 015455	101	19	56	6	5	10479000	95
20220527 015548	100	28	377	5	5	11647000	96
20220527 020545	2500	28	297	2	5	11281000	97
20220527 021525	2488	22	45	2	5	11059000	98
20220527 023315	2500	27	85	6	5	11423000	99
20220527 023557	648	26	72	2	5	11604000	100
20220527 023945	102	10	500	50	5	10892000	101
20220527 025240	1988	15	340	6	5	11771000	102
20220527 025457	380	26	288	4	5	11469000	103
20220527 030637	1725	18	373	6	5	11879000	104
20220527 030754	100	3	161	50	5	9650000	105
20220527 031859	1508	15	368	7	5	11717000	106
20220527 042742	2500	30	386	26	5	10598000	107
20220527 043514	947	11	116	9	5	11663000	108
20220527 053003	1958	8	380	50	5	10643000	109
20220527 054254	1905	17	370	6	5	11738000	110
20220527 055646	1810	19	370	7	5	11582000	111
20220527 060124	750	27	402	5	5	11638000	112
20220527 062109	1951	11	91	12	5	11904000	113
20220527 064430	2495	11	72	11	5	11349000	114
20220527 070356	1686	11	105	14	5	11496000	115
20220527 072035	1920	11	88	10	5	11744000	116
