Feature	Gain	Cover	Frequency
ctrx_quarter	0.0636442282448994	0.0302127606781899	0.0253731343283582
Master_fechaalta	0.0501274171520994	0.0339242229310128	0.0398009950248756
mrentabilidad_annual	0.0385745269855347	0.0225304550934285	0.0313432835820896
Visa_cconsumos	0.0356315947696662	0.00260488193477745	0.00845771144278607
ctransferencias_emitidas	0.0331828922298301	0.00824679012833571	0.00746268656716418
mpayroll	0.0301781264170078	0.106436393178335	0.0194029850746269
Visa_fechaalta	0.028601433720748	0.0134027593315773	0.0318407960199005
Master_mpagospesos	0.0273086520364218	0.0183724087875385	0.0114427860696517
cliente_antiguedad	0.0262393613940676	0.00643716138013739	0.0238805970149254
cprestamos_personales	0.0244531234364957	0.000468870121394782	0.00348258706467662
numero_de_cliente	0.0226459884382993	0.00377622536198121	0.0238805970149254
mcuenta_corriente	0.0225054319766978	0.00485955422440744	0.0213930348258707
Master_mlimitecompra	0.0217102495522321	0.0031036790622121	0.00746268656716418
mactivos_margen	0.0213423486521582	0.023704530361266	0.0278606965174129
cpayroll_trx	0.0211866371035793	0.0367410792668413	0.00746268656716418
Visa_Fvencimiento	0.0210863766462999	0.0123677203738867	0.0258706467661692
ctarjeta_master_trx	0.0201850066484263	0.000572310342682911	0.00298507462686567
ctarjeta_visa_trx	0.0196183060435753	0.0317029283934863	0.0189054726368159
Master_Fvencimiento	0.0192465679048971	0.00665864587301862	0.0194029850746269
Visa_mconsumospesos	0.0180000864063109	0.0153411953926624	0.0194029850746269
cliente_edad	0.0175701853996341	0.00732973382177275	0.0258706467661692
matm_other	0.0175453185518994	3.21658829502006e-05	0.00099502487562189
Visa_msaldototal	0.0158196112838956	0.0124910434653509	0.0124378109452736
Visa_msaldopesos	0.0151640880729088	0.0207895742444859	0.0149253731343284
Visa_mpagospesos	0.0144059086425238	0.00525033067595761	0.0164179104477612
ctarjeta_debito	0.0136340706632413	0.00255250453916888	0.0054726368159204
mpasivos_margen	0.0133354135607979	0.0137770420385496	0.0203980099502488
mcuentas_saldo	0.0126921746170365	0.025462254137424	0.0283582089552239
mrentabilidad	0.0119589805165206	0.00726661392502564	0.0139303482587065
mcaja_ahorro	0.0118679068454378	0.0149103656385881	0.0174129353233831
mtarjeta_visa_consumo	0.0116125155541022	0.0357079505435788	0.0159203980099502
mdescubierto_preacordado	0.0109934051164215	0.0105509847320097	0.00845771144278607
mtarjeta_master_consumo	0.0106961679466017	0.00847063673905812	0.00398009950248756
chomebanking_trx	0.0106896743707754	0.0079563317944923	0.0194029850746269
Visa_mconsumosdolares	0.0104644684838396	0.00633306387388476	0.00796019900497512
ccomisiones_otras	0.00989326407366324	0.0103765166542453	0.0119402985074627
ctarjeta_visa_trx2	0.0097584572599454	0.0153955857234748	0.00746268656716418
mprestamos_personales	0.00930390227637172	0.0260177215528916	0.0189054726368159
mcomisiones	0.00919720730222105	0.00696524876880256	0.0154228855721393
mautoservicio	0.00899138127087024	0.0206868940089379	0.0129353233830846
mcomisiones_otras	0.00865873114595648	0.00436194842597094	0.0124378109452736
ctarjeta_debito_trx	0.0086369469735366	0.010124632731756	0.00597014925373134
mtransferencias_emitidas	0.00813664281170884	0.00527526642429831	0.0129353233830846
Visa_mpagado	0.00685294254351625	0.0050269359486483	0.0104477611940299
Visa_mfinanciacion_limite	0.00673730134415206	0.00367044356300705	0.0114427860696517
mcaja_ahorro_dolares	0.00664959834956999	0.0191591172695791	0.0169154228855721
mpagomiscuentas	0.00651211584011346	0.0303644497239033	0.0149253731343284
Visa_mpagominimo	0.00606016298809427	0.0148906881699634	0.0144278606965174
Master_mconsumospesos	0.00605492481115881	0.00447107827023302	0.00746268656716418
mtarjeta_visa_debitos_automaticos	0.00599813241868933	0.0116152728706206	0.00945273631840796
Master_mfinanciacion_limite	0.00574064271332471	0.00256953232778045	0.0109452736318408
ccomisiones_mantenimiento	0.00573443456635092	0.000460674599493677	0.00298507462686567
cmobile_app_trx	0.00551479780867624	0.000112231407688312	0.00199004975124378
mcuenta_debitos_automaticos	0.0052452280657047	0.0177823312106589	0.0149253731343284
mtarjeta_visa_descuentos	0.00524169222263169	0.013097409385257	0.00497512437810945
mcheques_depositados	0.00520728446716246	0.0045127953253236	0.00248756218905473
mtransferencias_recibidas	0.00509017204785354	0.00961172451773975	0.00945273631840796
ccuenta_debitos_automaticos	0.00453321958065257	0.00946784073097975	0.00746268656716418
mcomisiones_mantenimiento	0.00448373986327565	0.00132535351044808	0.00597014925373134
Master_msaldototal	0.00419197781644914	0.00248036751431505	0.00696517412935323
Master_msaldopesos	0.00381825508380647	0.0121846048908081	0.00945273631840796
ctarjeta_visa_debitos_automaticos	0.00360742106977179	4.91525912514878e-05	0.00099502487562189
cproductos	0.00310338323649301	0.00345707243140636	0.00845771144278607
ctarjeta_master_debitos_automaticos	0.00281821013760145	0.00261566551622627	0.00149253731343284
ccaja_ahorro	0.00265144269069921	0.00123750326691168	0.0054726368159204
tmobile_app	0.00262298475618499	0.000302289463204407	0.00099502487562189
Visa_fultimo_cierre	0.00257251076590954	0.00112946205087205	0.00348258706467662
matm	0.00238608701724925	0.0053886480806745	0.00348258706467662
catm_trx	0.00231198428203307	0.00434251743920792	0.00398009950248756
Visa_mpagosdolares	0.00223955934107338	0.00391904106067389	0.00597014925373134
Master_fultimo_cierre	0.0022370445277197	0.00106734862172683	0.00298507462686567
mcaja_ahorro_adicional	0.00199916465820992	0.00360605017664123	0.00746268656716418
ccaja_seguridad	0.00197101950578622	0.00995735370829085	0.00398009950248756
mextraccion_autoservicio	0.00191886977001544	0.00333261963140938	0.0054726368159204
Visa_Finiciomora	0.00190130714281899	0.00351770696938145	0.00447761194029851
Visa_mlimitecompra	0.00189555454016644	0.00468833149115529	0.0054726368159204
mplazo_fijo_dolares	0.00174504412236842	0.0189816708693193	0.00696517412935323
ctransferencias_recibidas	0.00165619333893739	0.0038289724803823	0.00398009950248756
mprestamos_prendarios	0.00129664429569921	0.00162988185056281	0.000497512437810945
ccallcenter_trx	0.00129013612358776	0.0167588358201573	0.00497512437810945
catm_trx_other	0.00122549907014904	7.37596971099427e-05	0.000497512437810945
minversion2	0.00116693140336688	0.00570034493493331	0.00248756218905473
ccajas_consultas	0.00113923042236355	0.0021825558049313	0.00248756218905473
tpaquete7	0.00106027256481035	0.000855661782847672	0.00149253731343284
Visa_mconsumototal	0.0010080611249061	0.00538139740590986	0.00248756218905473
cpagomiscuentas	0.00098817630432781	0.00365834541162923	0.00348258706467662
Master_cconsumos	0.000975717041029423	0.00213449184190226	0.00149253731343284
mforex_sell	0.000920390277663093	0.000525047445704359	0.00199004975124378
Master_msaldodolares	0.000854352254023568	0.00302215518645901	0.00298507462686567
Master_mpagominimo	0.000803822906221466	0.0067950325031523	0.00348258706467662
Visa_msaldodolares	0.000735899225570535	0.00225399446451035	0.00398009950248756
Master_status	0.000682354989131414	0.00136916566136301	0.00298507462686567
internet	0.000662582936920397	0.000744827105708923	0.00199004975124378
ctarjeta_visa_descuentos	0.000646801944301847	0.00083214330521167	0.00248756218905473
mttarjeta_master_debitos_automaticos	0.00063311370202597	0.000812219354725275	0.00199004975124378
Visa_status	0.000608429562811971	0.00245680795636877	0.00099502487562189
cseguro_accidentes_personales	0.000567336176092057	0.00127757710959101	0.00149253731343284
Master_mpagado	0.000506534831515943	0.00431111154199792	0.00248756218905473
mcajeros_propios_descuentos	0.00048610453510692	0.000181061467564507	0.00149253731343284
mcheques_emitidos	0.000448726157900224	0.00981063538012145	0.00298507462686567
Master_mconsumototal	0.000423351262924947	5.74918942385769e-05	0.00149253731343284
active_quarter	0.000422848323928784	0.000980319984396055	0.00099502487562189
thomebanking	0.000378451104955676	0.00157514233711308	0.00149253731343284
cextraccion_autoservicio	0.000368999295567684	0.00157167105089431	0.00149253731343284
cinversion2	0.00032800726789176	0.00427498140910558	0.00199004975124378
cpagodeservicios	0.000290152922491425	0.000214829482615675	0.00099502487562189
mforex_buy	0.000287927503481371	0.00160835576797545	0.00149253731343284
cliente_vip	0.000271655777930394	0.000359206233099047	0.00099502487562189
mpagodeservicios	0.000269916885063178	0.000504117027616074	0.00099502487562189
ccajas_trx	0.000252447185120327	1.74591318695214e-06	0.000497512437810945
tcuentas	0.000217333508504404	0.00269182841148767	0.00149253731343284
Visa_delinquency	0.000194708765801327	0.000195747678490046	0.00099502487562189
tpaquete9	0.000188056133263789	5.7163251756327e-05	0.000497512437810945
ctarjeta_visa	0.000183573844483413	0.00143902272899623	0.000497512437810945
cforex_sell	0.000179801465104797	0.00143183367469702	0.000497512437810945
Master_mconsumosdolares	0.000170784912749712	0.000103214279581582	0.000497512437810945
Master_Finiciomora	0.000170454952935033	0.00223306404642207	0.00099502487562189
minversion1_pesos	0.000142490109704982	0.0049752979986248	0.00099502487562189
ccajas_otras	0.00014136899572638	0.000893373507685839	0.00099502487562189
cseguro_auto	0.000120877163637594	0.00167730906878249	0.000497512437810945
ccajeros_propios_descuentos	0.000100031496837364	0.00456749375846306	0.00099502487562189
tcallcenter	9.59048775478737e-05	0.000753269109471715	0.000497512437810945
ctarjeta_master_descuentos	8.71104109029749e-05	0.000710668827710082	0.000497512437810945
cseguro_vida	7.94683496488575e-05	9.44025530262591e-05	0.000497512437810945
tpaquete1	7.19845620238691e-05	0.000100872701895552	0.000497512437810945
cforex_buy	5.59931388697555e-05	0.000387284625176265	0.000497512437810945
