Feature	Gain	Cover	Frequency
ctrx_quarter	0.0878190231148215	0.0184774608668736	0.0239718495711458
cpayroll_trx	0.0850348229657491	0.0228454588426281	0.00560809324829558
mpasivos_margen	0.0807283359829031	0.0179810988683548	0.022212447767759
mtarjeta_visa_consumo	0.0532566146774867	0.0191568517388128	0.0240818121838575
mcaja_ahorro	0.0487812163492616	0.023818267861138	0.0383769518363756
mcuentas_saldo	0.032489251371148	0.0281633052810368	0.0305696063338465
mactivos_margen	0.0297019402535677	0.02305047265476	0.0205630085770838
Visa_msaldototal	0.0291200479541956	0.0145831585675242	0.0216626347042006
ctarjeta_visa_trx	0.025616481428087	0.0189756089158254	0.022542335605894
mprestamos_personales	0.0222603429640591	0.0185530015085983	0.00747745766439411
mpayroll	0.0216928217602527	0.0263924001427333	0.00989663514405102
mrentabilidad_annual	0.0209210201261615	0.016859438548439	0.0181438310974269
mcuenta_corriente	0.0198739674401969	0.022441641098916	0.0237519243457225
Master_fechaalta	0.0174129497375618	0.0244488881998657	0.0306795689465582
cliente_edad	0.0170401893490197	0.0193430707254343	0.0250714756982626
cliente_antiguedad	0.0160600969533304	0.0205644556358571	0.0273806905652078
numero_de_cliente	0.0159877546945133	0.0135237828849632	0.0266109522762261
Master_mfinanciacion_limite	0.0154990905329408	0.0138693991297382	0.022212447767759
Master_Fvencimiento	0.013879731042763	0.0164994203362996	0.0224323729931823
chomebanking_trx	0.0137548838779655	0.0131013148516138	0.0180338684847152
mcomisiones	0.012462656575597	0.0135434139537399	0.019133494611832
Visa_fechaalta	0.0121783984364253	0.0126936720692576	0.0188036067736969
Visa_mpagominimo	0.0115218130392563	0.0123092324565441	0.0177039806465802
Visa_Fvencimiento	0.0114195915092747	0.0120115401777233	0.0193534198372553
mrentabilidad	0.0103302768497597	0.0145204093505769	0.0167143171321751
cproductos	0.0100541378318237	0.00913024335561751	0.0123158126237079
mcomisiones_otras	0.0100390040704288	0.0100240015754823	0.0172641301957335
Visa_cconsumos	0.00966599629259041	0.0120473231303292	0.0174840554211568
Visa_mfinanciacion_limite	0.00963186889569422	0.0122336711668375	0.0177039806465802
Visa_mlimitecompra	0.00959415819036981	0.0135641290415656	0.0151748405542116
mcomisiones_mantenimiento	0.00857035732804686	0.0177619515126229	0.00989663514405102
ctarjeta_debito_trx	0.00856858895660605	0.00975364722467662	0.0151748405542116
mcaja_ahorro_dolares	0.00855595007150319	0.0182048249140697	0.0164943919067517
Visa_msaldopesos	0.00814037589387456	0.0118104856161177	0.0155047283923466
Master_mlimitecompra	0.00796107730837515	0.00955995883060836	0.0139652518143831
mtransferencias_recibidas	0.00790305135794285	0.00735977182493363	0.0141851770398065
Visa_mpagospesos	0.00775363721872165	0.00934403772204588	0.0173740928084451
mautoservicio	0.00743794290602786	0.0167777602940991	0.0149549153287882
ccomisiones_otras	0.00738654678145312	0.0143672890789164	0.0144051022652298
mtransferencias_emitidas	0.00684987020694666	0.0116916151844082	0.013305476138113
Visa_mconsumospesos	0.00672994479336118	0.00689765450437041	0.0127556630745547
ctransferencias_recibidas	0.00643150617505318	0.0128850324033684	0.0107763360457444
Visa_mconsumototal	0.00629453507954844	0.00915431890249493	0.0127556630745547
ccomisiones_mantenimiento	0.00570671343662244	0.0220711337119791	0.00714756982625907
cextraccion_autoservicio	0.00521421525833894	0.00428217463905121	0.00681768198812404
cprestamos_personales	0.00499154998193117	0.00639439091790671	0.00318891576863866
mtarjeta_visa_debitos_automaticos	0.00496123573053612	0.00593857639381376	0.00912689685506928
mpagomiscuentas	0.00480848769234628	0.0106025270559153	0.00879700901693424
Master_status	0.00462296907038651	0.0127423703345324	0.00274906531779195
ctransferencias_emitidas	0.00455614546175688	0.0135060514305198	0.00725753243897075
Master_mpagominimo	0.00453866581332429	0.00670519466522428	0.00571805586100726
mcuenta_debitos_automaticos	0.00449009510653518	0.00794366061866113	0.00879700901693424
thomebanking	0.00434862975628493	0.00433765576637506	0.00362876621948538
Master_msaldopesos	0.00425772915200188	0.00507016357171227	0.00461842973389048
Visa_mpagado	0.00412277401061751	0.011128864762135	0.00758742027710578
mextraccion_autoservicio	0.00411912018955808	0.00665690419759173	0.00912689685506928
tcallcenter	0.00374883220237442	0.00284751156174712	0.00175940180338685
ccaja_ahorro	0.00346554926671919	0.0112964024871465	0.0035188036067737
ctarjeta_visa_debitos_automaticos	0.00339063375954	0.00590036214134088	0.006487794149989
ccallcenter_trx	0.00329410492652921	0.00573037763047611	0.00208928964152188
ccuenta_debitos_automaticos	0.00300380333742727	0.0083890427499069	0.00560809324829558
Master_mpagospesos	0.00297832772317814	0.00970162463431843	0.00615790631185397
Visa_mconsumosdolares	0.00292652634211833	0.00289641630684074	0.00494831757202551
Visa_fultimo_cierre	0.00273236821104165	0.00266235594619266	0.00527820541016055
mplazo_fijo_dolares	0.00267369379261256	0.0177300297326293	0.00373872883219705
cmobile_app_trx	0.00267080100657211	0.00170145565123469	0.00461842973389048
ccajas_consultas	0.00229754472109128	0.0121548010380339	0.00219925225423356
mdescubierto_preacordado	0.00214611933716642	0.00591727283850435	0.00186936441609853
Visa_mpagosdolares	0.00213128465797582	0.00508595927785397	0.00362876621948538
Master_mconsumospesos	0.00205304764959314	0.00289293195989772	0.00384869144490873
ctarjeta_debito	0.00185383182092333	0.00345844404974795	0.00362876621948538
Master_msaldototal	0.00181849558508522	0.00285994164684164	0.00362876621948538
Master_fultimo_cierre	0.00154076347454494	0.00324397346191286	0.00417857928304377
Master_cconsumos	0.00139100304296263	0.00178687119029571	0.00263910270508027
cpagomiscuentas	0.00131556261783859	0.00320515525596986	0.00472839234660216
Visa_status	0.00128159530985668	0.00483578316734498	0.00131955135254014
catm_trx	0.00127343382732571	0.00771014742953299	0.00362876621948538
cseguro_accidentes_personales	0.001255118276222	0.00652614569031218	0.00241917747965692
ccaja_seguridad	0.00119488595597481	0.00613649762416836	0.00142951396525181
matm	0.000977196397273435	0.00423759048416694	0.006487794149989
Visa_msaldodolares	0.000869150511217698	0.00226324078035475	0.00175940180338685
Master_mconsumototal	0.000864061091576873	0.00255435151494992	0.00329887838135034
mtarjeta_master_consumo	0.000856897055656052	0.00147973762175812	0.00219925225423356
